Date,Price
"May 21, 2021",125.43
"May 20, 2021",127.31
"May 19, 2021",124.69
"May 18, 2021",124.85
"May 17, 2021",126.27
"May 14, 2021",127.45
"May 13, 2021",124.97
"May 12, 2021",122.77
"May 11, 2021",125.91
"May 10, 2021",126.85
"May 07, 2021",130.21
"May 06, 2021",129.74
"May 05, 2021",128.10
"May 04, 2021",127.85
"May 03, 2021",132.54
"Apr 30, 2021",131.46
"Apr 29, 2021",133.48
"Apr 28, 2021",133.58
"Apr 27, 2021",134.39
"Apr 26, 2021",134.72
"Apr 23, 2021",134.32
"Apr 22, 2021",131.94
"Apr 21, 2021",133.50
"Apr 20, 2021",133.11
"Apr 19, 2021",134.84
"Apr 16, 2021",134.16
"Apr 15, 2021",134.50
"Apr 14, 2021",132.03
"Apr 13, 2021",134.43
"Apr 12, 2021",131.24
"Apr 09, 2021",132.99
"Apr 08, 2021",130.36
"Apr 07, 2021",127.90
"Apr 06, 2021",126.21
"Apr 05, 2021",125.90
"Apr 01, 2021",123.00
"Mar 31, 2021",122.15
"Mar 30, 2021",119.90
"Mar 29, 2021",121.39
"Mar 26, 2021",121.21
"Mar 25, 2021",120.59
"Mar 24, 2021",120.09
"Mar 23, 2021",122.54
"Mar 22, 2021",123.39
"Mar 19, 2021",119.99
"Mar 18, 2021",120.53
"Mar 17, 2021",124.76
"Mar 16, 2021",125.57
"Mar 15, 2021",123.99
"Mar 12, 2021",121.03
"Mar 11, 2021",121.96
"Mar 10, 2021",119.98
"Mar 09, 2021",121.08
"Mar 08, 2021",116.36
"Mar 05, 2021",121.42
"Mar 04, 2021",120.13
"Mar 03, 2021",122.06
"Mar 02, 2021",125.12
"Mar 01, 2021",127.79
"Feb 26, 2021",121.26
"Feb 25, 2021",120.99
"Feb 24, 2021",125.35
"Feb 23, 2021",125.86
"Feb 22, 2021",126.00
"Feb 19, 2021",129.87
"Feb 18, 2021",129.71
"Feb 17, 2021",130.84
"Feb 16, 2021",133.19
"Feb 12, 2021",135.37
"Feb 11, 2021",135.13
"Feb 10, 2021",135.39
"Feb 09, 2021",136.01
"Feb 08, 2021",136.91
"Feb 05, 2021",136.76
"Feb 04, 2021",137.39
"Feb 03, 2021",133.94
"Feb 02, 2021",134.99
"Feb 01, 2021",134.14
"Jan 29, 2021",131.96
"Jan 28, 2021",137.09
"Jan 27, 2021",142.06
"Jan 26, 2021",143.16
"Jan 25, 2021",142.92
"Jan 22, 2021",139.07
"Jan 21, 2021",136.87
"Jan 20, 2021",132.03
"Jan 19, 2021",127.83
"Jan 15, 2021",127.14
"Jan 14, 2021",128.91
"Jan 13, 2021",130.89
"Jan 12, 2021",128.80
"Jan 11, 2021",128.98
"Jan 08, 2021",132.05
"Jan 07, 2021",130.92
"Jan 06, 2021",126.60
"Jan 05, 2021",131.01
"Jan 04, 2021",129.41
"Dec 31, 2020",132.69
"Dec 30, 2020",133.72
"Dec 29, 2020",134.87
"Dec 28, 2020",136.69
"Dec 24, 2020",131.97
"Dec 23, 2020",130.96
"Dec 22, 2020",131.88
"Dec 21, 2020",128.23
"Dec 18, 2020",126.65
"Dec 17, 2020",128.70
"Dec 16, 2020",127.81
"Dec 15, 2020",127.88
"Dec 14, 2020",121.78
"Dec 11, 2020",122.41
"Dec 10, 2020",123.24
"Dec 09, 2020",121.78
"Dec 08, 2020",124.38
"Dec 07, 2020",123.75
"Dec 04, 2020",122.25
"Dec 03, 2020",122.94
"Dec 02, 2020",123.08
"Dec 01, 2020",122.72
"Nov 30, 2020",119.05
"Nov 27, 2020",116.59
"Nov 25, 2020",116.03
"Nov 24, 2020",115.17
"Nov 23, 2020",113.85
"Nov 20, 2020",117.34
"Nov 19, 2020",118.64
"Nov 18, 2020",118.03
"Nov 17, 2020",119.39
"Nov 16, 2020",120.30
"Nov 13, 2020",119.26
"Nov 12, 2020",119.21
"Nov 11, 2020",119.49
"Nov 10, 2020",115.97
"Nov 09, 2020",116.32
"Nov 06, 2020",118.69
"Nov 05, 2020",119.03
"Nov 04, 2020",114.95
"Nov 03, 2020",110.44
"Nov 02, 2020",108.77
"Oct 30, 2020",108.86
"Oct 29, 2020",115.32
"Oct 28, 2020",111.20
"Oct 27, 2020",116.60
"Oct 26, 2020",115.05
"Oct 23, 2020",115.04
"Oct 22, 2020",115.75
"Oct 21, 2020",116.87
"Oct 20, 2020",117.51
"Oct 19, 2020",115.98
"Oct 16, 2020",119.02
"Oct 15, 2020",120.71
"Oct 14, 2020",121.19
"Oct 13, 2020",121.10
"Oct 12, 2020",124.40
"Oct 09, 2020",116.97
"Oct 08, 2020",114.97
"Oct 07, 2020",115.08
"Oct 06, 2020",113.16
"Oct 05, 2020",116.50
"Oct 02, 2020",113.02
